Org1,Org2,Edu1,Edu2,Edu3,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Software Engineering,Human computer interaction,Software Engineering,Software Engineering
Software Engineering,Business System Analysis,Information Technology,Information Technology,Other,Business System Analysis,Software Engineering,Software Engineering,Quality Assurance,Software Engineering,Database,Software Engineering,Other
Software Engineering,Other,Computer Hardware,Other,Other,Software Engineering,Software Engineering,Computer Hardware,Other,Other,Other,Other,Software Engineering
Quality Assurance,Quality Assurance,Quality Assurance,Information Technology,Information Technology,Quality Assurance,Quality Assurance,Quality Assurance,Quality Assurance,Quality Assurance,Other,Database,Quality Assurance
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Database
Management,Other,Software Engineering,Software Engineering,Software Engineering,Management,Management,Software Engineering,Software Engineering,Other,Other,Other,Other
Other,Other,Cloud Computing,Computer Science,Mathematics of computing,Management,Other,Software Engineering,Data Sience,Software Engineering,Software Engineering,Software Engineering,Other
Software Engineering,Other,Information Technology,Information Technology,Other,Software Engineering,Database,Marketing,Management,Database,Software Engineering,Software Engineering,Software Engineering
Quality Assurance,Quality Assurance,Information Technology,Other,Other,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Quality Assurance,Database,Software Engineering
Software Engineering,Software Engineering,Computer Hardware,Mathematics of computing,Other,Software Engineering,Database,Software Engineering,Software Engineering,Computer Hardware,Computer Hardware,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Information System,Bio-informatics,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Other,Other,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software organization & Operating Systems,Database
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering
Other,Other,System/Infrastructure integration &  Administration,Information Technology,Marketing,Database,Communication and Networks,Management,Data Sience,Management,Database,Software Engineering,Software Engineering
Other,Other,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Software Engineering,Management,Mathematics of computing,Other,Data Sience,Cloud Computing,Software Engineering,Other,Other,Other,Other,Other
System/Infrastructure integration &  Administration,System/Infrastructure integration &  Administration,Computer Science,Computer Science,Computer Science,Software organization & Operating Systems,Software organization & Operating Systems,Software Engineering,Software Engineering,Software Engineering,Database,Software organization & Operating Systems,Other
Software Engineering,Management,Cyber & Information Security,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Database,Database
Software Engineering,Other,Software Engineering,Mathematics of computing,Other,Software Engineering,Software Engineering,Marketing,Software Engineering,Management,Database,Software Engineering,Software Engineering
Software Engineering,Other,Software Engineering,Information Technology,Other,Software Engineering,Software Engineering,Software Engineering,Data Sience,Database,Software Engineering,Software Engineering,Other
Management,Software Engineering,Information Technology,Management,Other,Software Engineering,Software Engineering,Software Engineering,Management,Database,Software Engineering,Software Engineering,Software Engineering
Other,Management,Information Technology,Information Technology,Management,Management,Other,Database,Software Engineering,Other,Other,Other,Other
Software Engineering,Management,Information Technology,Mathematics of computing,Other,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Other,Other
Other,Software Engineering,Data Sience,Other,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Hardware,Communication and Networks,Computer Hardware,Other,Software Engineering,Software Engineering,Other,Other,Other,Other,Other
Software Engineering,Software Engineering,Computer Science,Marketing,Software Engineering,Database,Software Engineering,Communication and Networks,Data Structures and Algorithms,Software Engineering,Business System Analysis,Management,Communication and Networks
Software Engineering,Software Engineering,Information Technology,Software Engineering,Mathematics of computing,Software Engineering,Software Engineering,Data Structures and Algorithms,Database,Software Engineering,Software Engineering,Software Engineering,Software organization & Operating Systems
Information System,E-Governance,Other,Management,Other,Other,Management,Other,Other,Marketing,Other,Other,Other
Software Engineering,Software Engineering,Mathematics of computing,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering,Other
Management,Management,Information Technology,Other,Marketing,Other,Other,Other,Database,Business System Analysis,Management,Management,Software Engineering
Management,Management,Other,Management,Information Technology,Other,Other,Applied computing,Management,Management,Information Technology,Software Engineering,Management
Computer Science,Software Engineering,Other,Other,Other,Computer Hardware,Software Engineering,Software Engineering,Data Structures and Algorithms,Communication and Networks,Mathematics of computing,Artificial Intelligence,Software Engineering
Management,Management,System/Infrastructure integration &  Administration,Other,Management,Management,Management,Applied computing,Management,Business System Analysis,Marketing,Software Engineering,Business System Analysis
Other,Other,Information Technology,Management,Computer Science,Management,Software Engineering,Data Sience,Management,Marketing,Management,Marketing,Marketing
Information System,E-Governance,Information Technology,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Big Data,Software Engineering,Software Engineering,Management,Software Engineering
Software Engineering,Cyber & Information Security,Information Technology,Computer Science,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Database,Business System Analysis,Database
Management,Management,Communication and Networks,Other,Other,Business System Analysis,Software Engineering,Communication and Networks,Software organization & Operating Systems,Database,Database,Software Engineering,Software Engineering
Business System Analysis,Management,Other,Management,Theory of computation,Database,Management,Business System Analysis,Business System Analysis,Other,Software Engineering,Software Engineering,Management
Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Artificial Intelligence,Software Engineering,Computer Science,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Data Sience,Database
Other,Software Engineering,Software Engineering,Management,Software Engineering,Software Engineering,Software Engineering,Other,Human computer interaction,Other,Software organization & Operating Systems,Database,Software organization & Operating Systems
Software Engineering,Software Engineering,Computer Science,Computer Science,Other,Computer Science,Database,Mathematics of computing,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Computer Science,Computer Science,Other,Other,Big Data,Data Structures and Algorithms,Software Engineering,Software Engineering,Mathematics of computing,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Cloud Computing,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Data Sience,Data Sience,Computer Science,Other,Other,Software Engineering,Software Engineering,Artificial Intelligence,Computer Science,Software Engineering,Software Engineering,Data Sience,Software Engineering
Software Engineering,Software Engineering,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Business System Analysis,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Database,Database,Other,Software Engineering,Other
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Other,Other
Software Engineering,Software Engineering,Other,Computer Science,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Other,Other,Other,Management,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering
Other,Other,Mathematics of computing,Artificial Intelligence,Other,Artificial Intelligence,Software Engineering,Other,Mathematics of computing,Data Sience,Artificial Intelligence,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Other,Other,Other,Computer Science,Computer Science,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software organization & Operating Systems,Software Engineering,Software organization & Operating Systems
Software Engineering,Software Engineering,Computer Hardware,Other,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other
Software Engineering,Business System Analysis,Computer Science,Mathematics of computing,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other
Software Engineering,Software Engineering,Computer Science,Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other
Software Engineering,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Communication and Networks,Communication and Networks,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Management,Data Structures and Algorithms,Computer Science,Management
Software Engineering,Software Engineering,Computer Science,Other,Other,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Other,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Data Structures and Algorithms,Artificial Intelligence,Database,Software Engineering
Business System Analysis,Business System Analysis,Computer Science,Computer Science,Software Engineering,Software Engineering,Database,Software Engineering,Artificial Intelligence,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering
Marketing,Marketing,Other,Other,Marketing,Other,Other,Other,Other,Other,"Multimedia, Animation and Graphic Design",Other,Other
Software Engineering,Software Engineering,Cyber & Information Security,Information Technology,Other,Software organization & Operating Systems,Cyber & Information Security,Marketing,Marketing,Software Engineering,Software Engineering,Database,Software Engineering
Artificial Intelligence,Artificial Intelligence,Computer Science,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Management
Computer Science,Computer Science,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Computer Science,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Management,Software Engineering,Information System,Computer Science,Mathematics of computing,Software Engineering,Other,Software Engineering,Data Structures and Algorithms,Big Data,Software Engineering,Software organization & Operating Systems,Software organization & Operating Systems
Software Engineering,Software Engineering,Computer Science,Mathematics of computing,Other,Software Engineering,Database,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Computer Science,Other,Software Engineering,Database,Data Structures and Algorithms,Mathematics of computing,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Other
Software Engineering,Computer Hardware,System/Infrastructure integration &  Administration,Computer Hardware,Other,Other,Software Engineering,Other,Other,Software Engineering,Software Engineering,Database,Other
Software Engineering,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Other,Other,Other
Data Sience,Software Engineering,Computer Science,Information Technology,Other,Data Sience,Software Engineering,Software Engineering,Software Engineering,Management,Software Engineering,Software Engineering,Concurrent computing
Information Technology,Information Technology,Cyber & Information Security,Software Engineering,Other,Cyber & Information Security,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Database,Database,Software Engineering
Software Engineering,Other,Artificial Intelligence,Computer Science,Other,Software Engineering,Other,Data Structures and Algorithms,Software Engineering,Software Engineering,Other,Software Engineering,Software organization & Operating Systems
Management,Management,E-Governance,Other,Computer Science,Management,System/Infrastructure integration &  Administration,Management,Software Engineering,Information Technology,Applied computing,Software Engineering,Management
Other,Other,Information Technology,Cyber & Information Security,Computer Science,Other,Software Engineering,Software Engineering,Communication and Networks,Communication and Networks,Computer Science,Software Engineering,Database
Other,Other,Other,Management,Other,Management,Database,Cyber & Information Security,Database,Software organization & Operating Systems,Software Engineering,Other,Other
Data Sience,Data Sience,System/Infrastructure integration &  Administration,Computer Hardware,Other,Other,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Artificial Intelligence,Communication and Networks,Communication and Networks
Software Engineering,Software Engineering,Communication and Networks,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software organization & Operating Systems,Software Engineering
Marketing,Software Engineering,Information Technology,Other,Other,Other,Other,Management,Software Engineering,Other,Business System Analysis,Other,Software Engineering
Software Engineering,Data Sience,Data Sience,Mathematics of computing,Information Technology,Artificial Intelligence,Business System Analysis,Data Sience,Big Data,Software Engineering,Business System Analysis,Database,Database
Business System Analysis,Other,Other,Bio-informatics,Other,Other,Other,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Data Structures and Algorithms
Management,Business System Analysis,Management,Other,Other,Business System Analysis,Management,Management,Management,Marketing,Management,Applied computing,Business System Analysis
Management,Management,Computer Science,Management,Human computer interaction,Business System Analysis,Management,Management,System/Infrastructure integration &  Administration,Information Technology,Database,Management,Data Sience
Business System Analysis,Business System Analysis,Information System,Management,Other,Other,Database,Business System Analysis,Software Engineering,Management,Database,Human computer interaction,Management
Information Technology,Other,Information Technology,Communication and Networks,Communication and Networks,Management,Other,Management,Other,Other,Other,Other,Other
Marketing,Management,Other,Other,Software Engineering,Management,Management,Management,Business System Analysis,Business System Analysis,Business System Analysis,Business System Analysis,Management
Business System Analysis,Marketing,Information System,Management,Management,Management,Marketing,Business System Analysis,Management,Business System Analysis,Data Sience,Cloud Computing,Business System Analysis
Other,Other,Other,Other,Marketing,Marketing,Other,Marketing,Other,Marketing,Marketing,Management,Other
Other,Other,Other,Other,Other,Management,Marketing,Other,Other,Other,Other,Other,Other
Other,Other,Bio-informatics,Information Technology,Bio-informatics,Other,Software Engineering,Management,Software Engineering,Other,Software Engineering,Management,Other
Other,Management,Artificial Intelligence,Computer Hardware,Other,Management,Management,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Computer Hardware,Artificial Intelligence
Software Engineering,Other,Computer Science,Other,Other,Other,Other,Mathematics of computing,Software Engineering,Other,Other,Mathematics of computing,Other
Other,Other,Computer Hardware,Other,Other,Other,Software Engineering,Software Engineering,Computer Hardware,Software organization & Operating Systems,Software Engineering,Other,Communication and Networks
Software Engineering,Computer Hardware,Computer Hardware,Mathematics of computing,Other,Other,Software Engineering,Other,Database,Software organization & Operating Systems,Other,Other,Other
Other,Other,Software Engineering,Other,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Computer Hardware,Computer Hardware,Computer Hardware,Mathematics of computing,Other,Other,Other,Data Structures and Algorithms,Computer Hardware,Other,Computer Hardware,Other,Other
Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Other
Business System Analysis,Quality Assurance,Information Technology,Information Technology,Information Technology,Software Engineering,Software Engineering,Management,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Cyber & Information Security,Software Engineering,Software Engineering,Software organization & Operating Systems,Other
Other,Other,Computer Science,Computer Science,Computer Science,Other,Software Engineering,Other,Management,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Other
Software Engineering,Software Engineering,Computer Science,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Software Engineering,Database
Bio-informatics,Software Engineering,Information Technology,Other,Other,Other,Software Engineering,Software organization & Operating Systems,Communication and Networks,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Software Engineering,Other,Computer Science,Other,Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software organization & Operating Systems,Software organization & Operating Systems
Software Engineering,Other,Computer Science,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software organization & Operating Systems
Other,Other,Information Technology,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Management,Management,Management,Other,Other,Software Engineering,Software Engineering,Management,Cloud Computing,Software Engineering,Software Engineering,Human computer interaction,Concurrent computing
Other,Software Engineering,Computer Science,Software Engineering,Other,Management,Marketing,Other,Data Sience,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Other,Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other
Other,Computer Science,Computer Science,Information Technology,Mathematics of computing,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Software Engineering,Other,Other,Other,Other
Software Engineering,Other,Communication and Networks,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Computer Hardware,Other,Other,Artificial Intelligence,Artificial Intelligence,Management,Artificial Intelligence,Other,Software Engineering,Data Sience,Other
Business System Analysis,Software Engineering,Information Technology,Information Technology,Computer Science,Management,Information System,Management,Software Engineering,Management,Software Engineering,Database,Database
Computer Science,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Communication and Networks,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software organization & Operating Systems,Software Engineering
Software Engineering,Other,Computer Science,Other,Other,Artificial Intelligence,Artificial Intelligence,Management,Software Engineering,Data Structures and Algorithms,Concurrent computing,Database,Software Engineering
Other,Other,Information Technology,Other,Other,Management,Other,Other,Other,Other,Other,Other,Other
Other,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Other,Software Engineering,Database,Software Engineering,Computer Hardware,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Database,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Hardware,Business System Analysis,Mathematics of computing,Computer Hardware,Big Data,Software Engineering,Data Structures and Algorithms,Data Sience,"Multimedia, Animation and Graphic Design",Computer Hardware,Computer Hardware
Other,System/Infrastructure integration &  Administration,Other,Other,Other,Software organization & Operating Systems,Cyber & Information Security,Other,Other,Communication and Networks,Software Engineering,Software Engineering,Communication and Networks
Other,Other,Computer Hardware,Other,Other,Software Engineering,Software Engineering,Software Engineering,Other,Other,Other,Other,Other
E-Governance,Other,E-Governance,Other,Other,Other,Other,Other,Other,Marketing,Other,Other,Other
Software Engineering,Software Engineering,Computer Hardware,Other,Other,Other,Other,Computer Science,Software Engineering,Software Engineering,Software Engineering,Other,Other
Other,Other,Software Engineering,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other
Management,Software Engineering,Management,Information Technology,Other,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Information Technology,Computer Science,Information Technology,Data Sience,Software Engineering,Database,Business System Analysis,Management,Database,Business System Analysis,Cyber & Information Security
Other,Other,Computer Science,Computer Science,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Bio-informatics,Information Technology,Information Technology,Software Engineering,Other,Other,Database,Software Engineering,Database,Software organization & Operating Systems,Software Engineering
Software Engineering,Software Engineering,Information Technology,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Other,Software Engineering
Software Engineering,Other,Other,Mathematics of computing,Other,Software Engineering,Database,Management,Software Engineering,Management,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Other,Other,Other,Software Engineering,Data Structures and Algorithms,Data Structures and Algorithms,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering
Other,Other,Computer Science,Mathematics of computing,Mathematics of computing,Software Engineering,Software Engineering,Business System Analysis,Communication and Networks,Data Sience,Business System Analysis,Database,Software Engineering
Software Engineering,Software Engineering,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Other,Other,Other,Other
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Other,Artificial Intelligence,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software organization & Operating Systems,Computer Hardware
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Database,Software Engineering,Database,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Database,Business System Analysis,Management,Database,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Artificial Intelligence,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Information Technology,Other,Other,Management,Communication and Networks,Marketing,Other,Other,Other,Other,Other
Software Engineering,Other,Information Technology,Other,Other,Other,Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Other,Other,Other,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Other,Other,Other
Software Engineering,Other,Computer Science,Information Technology,Marketing,Database,Database,Marketing,Marketing,Marketing,Software Engineering,Management,Software Engineering
Management,Software Engineering,Other,Software Engineering,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database
Other,Other,Other,Theory of computation,Other,Management,Other,Other,Other,Other,Other,Other,Other
Communication and Networks,Communication and Networks,Communication and Networks,Computer Hardware,Other,Communication and Networks,Communication and Networks,Software organization & Operating Systems,Communication and Networks,Software Engineering,Communication and Networks,Software organization & Operating Systems,Software Engineering
Software Engineering,Big Data,Artificial Intelligence,Information Technology,Other,Big Data,Artificial Intelligence,"Multimedia, Animation and Graphic Design",Software Engineering,Database,Other,Other,Other
Other,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Data Sience,Database,Software Engineering,Software organization & Operating Systems,Software Engineering
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Communication and Networks,Other,Other,Software organization & Operating Systems,Cyber & Information Security,Other,Other,Other,Other,Other,Other
Other,Big Data,Information Technology,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other
Computer Science,Software Engineering,Other,Other,Other,Computer Hardware,Software Engineering,Software Engineering,Data Structures and Algorithms,Communication and Networks,Mathematics of computing,Software Engineering,Artificial Intelligence
Other,Management,System/Infrastructure integration &  Administration,Other,Management,Management,Management,Applied computing,Management,Business System Analysis,Marketing,Management,Business System Analysis
Management,Management,Computer Science,Mathematics of computing,Mathematics of computing,Software Engineering,Software Engineering,Data Sience,Management,Business System Analysis,Software Engineering,Computer Science,Mathematics of computing
Other,Other,Other,Other,Other,Quality Assurance,Cloud Computing,Software Engineering,Other,Other,Other,Other,Other
Other,GIS,GIS,GIS,Information Technology,GIS,Business System Analysis,Other,Other,Other,Other,Other,Other
Information Technology,Quality Assurance,Information Technology,Computer Science,Other,Quality Assurance,Quality Assurance,Software Engineering,Quality Assurance,Quality Assurance,Management,Quality Assurance,Business System Analysis
Other,Other,Other,Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Marketing,Other,Other,Software Engineering,Software Engineering,Software Engineering,Other,"Multimedia, Animation and Graphic Design",Marketing,Other,Software Engineering,Other
Other,Other,Computer Science,Other,Other,Other,Management,Management,Other,Other,Other,Other,Other
Software Engineering,Other,Other,Other,Other,Software organization & Operating Systems,Software organization & Operating Systems,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Mathematics of computing,Other,Software Engineering,Other,Other,Software Engineering,Software Engineering
Other,Other,Information Technology,Management,Computer Science,Management,Software Engineering,Data Sience,Management,Marketing,Management,Marketing,Marketing
Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Information System,Software Engineering,Information Technology,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Big Data,Software Engineering,Software Engineering,Management,Software Engineering
Software Engineering,Software Engineering,Computer Science,Bio-informatics,Other,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering,Database,Software Engineering,Other
System/Infrastructure integration &  Administration,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Marketing,Other,Communication and Networks
Data Sience,Artificial Intelligence,Communication and Networks,Mathematics of computing,Other,Other,Other,Software Engineering,Other,Big Data,Software Engineering,Software Engineering,Software Engineering
Other,Other,Other,Computer Hardware,Other,Other,Other,Software Engineering,Other,Software Engineering,Software Engineering,Other,Other
Management,Management,Information Technology,Information Technology,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Cyber & Information Security,Information Technology,Computer Science,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Database,Business System Analysis,Software Engineering
Management,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Software Engineering,Mathematics of computing,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Other,Other,Other
Other,Other,Information Technology,Information Technology,Other,Other,Other,Other,Information Technology,Other,Other,Other,Other
Other,Other,Computer Hardware,Computer Hardware,Other,Management,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Other,Information Technology,Other,Other,Other,Management,Software organization & Operating Systems,Communication and Networks,Database,Other,Communication and Networks,Other
Management,Other,Communication and Networks,Management,Other,Management,Other,Other,Other,Other,Other,Other,Other
Artificial Intelligence,Artificial Intelligence,Mathematics of computing,Other,Mathematics of computing,Software Engineering,Data Sience,Other,"Multimedia, Animation and Graphic Design",Communication and Networks,Other,Software Engineering,Software Engineering
Information System,Other,Other,Other,Other,Marketing,Other,Management,Other,Other,Other,Other,Other
Other,Communication and Networks,Information System,Other,Other,Other,Communication and Networks,Other,Other,Other,Communication and Networks,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Quality Assurance,Other,Information System,Software Engineering,Other,Management,Other,Other,Other,Other,Other,Management,Communication and Networks
Other,Artificial Intelligence,Computer Hardware,Other,Other,Other,Artificial Intelligence,Software Engineering,Artificial Intelligence,Other,Other,Other,Other
Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Information Technology,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Management,Other,Other,Other
Other,Other,Big Data,Computer Hardware,Other,Software Engineering,Software Engineering,Artificial Intelligence,Artificial Intelligence,Software Engineering,Other,Software Engineering,Software Engineering
Other,Data Sience,Data Sience,Computer Science,Other,Artificial Intelligence,Artificial Intelligence,Data Structures and Algorithms,Database,Software Engineering,Software Engineering,Other,Software Engineering
Other,Bio-informatics,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Communication and Networks,Cyber & Information Security,Information System,Information Technology,Other,Cyber & Information Security,Communication and Networks,Other,Other,Communication and Networks,Communication and Networks,Communication and Networks,Communication and Networks
